"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-11-7","670.97","667.91","671.08","661.21","100.59M","0.10%"
"2025-11-6","670.31","676.47","677.38","668.72","85.04M","-1.07%"
"2025-11-5","677.58","674.98","680.86","674.17","74.40M","0.35%"
"2025-11-4","675.24","676.11","679.96","674.58","78.43M","-1.19%"
"2025-11-3","683.34","685.67","685.80","679.94","57.32M","0.19%"
"2025-10-31","682.06","685.04","685.08","679.24","87.16M","0.33%"
"2025-10-30","679.83","683.90","685.94","679.83","76.34M","-1.10%"
"2025-10-29","687.39","688.72","689.70","682.87","85.36M","0.05%"
"2025-10-28","687.06","687.05","688.91","684.83","61.74M","0.27%"
"2025-10-27","685.24","682.73","685.54","682.11","63.34M","1.18%"
"2025-10-24","677.25","676.46","678.47","675.65","74.36M","0.82%"
"2025-10-23","671.76","668.12","672.71","667.80","65.60M","0.59%"
"2025-10-22","667.80","672.00","672.00","663.30","80.56M","-0.52%"
"2025-10-21","671.29","671.44","672.99","669.98","56.25M","0.00%"
"2025-10-20","671.30","667.32","672.21","667.27","60.49M","1.04%"
"2025-10-17","664.39","659.50","665.76","658.14","96.50M","0.57%"
"2025-10-16","660.64","666.82","668.71","657.11","110.56M","-0.68%"
"2025-10-15","665.17","666.82","670.23","658.93","81.70M","0.44%"
"2025-10-14","662.23","657.17","665.83","653.17","88.78M","-0.12%"
"2025-10-13","663.04","660.65","665.13","659.77","79.56M","1.53%"
"2025-10-10","653.02","672.13","673.95","652.84","159.42M","-2.70%"
"2025-10-9","671.16","673.53","673.94","669.21","66.50M","-0.29%"
"2025-10-8","673.11","670.25","673.21","669.42","60.70M","0.60%"
"2025-10-7","669.12","672.54","672.99","667.67","72.02M","-0.37%"
"2025-10-6","671.61","671.62","672.51","669.46","54.62M","0.36%"
"2025-10-3","669.21","669.99","672.67","668.16","70.49M","0.00%"
"2025-10-2","669.22","670.45","670.57","666.78","56.90M","0.12%"
"2025-10-1","668.45","663.17","669.37","663.06","72.55M","0.34%"
"2025-9-30","666.18","662.93","666.65","661.61","86.29M","0.38%"
"2025-9-29","663.68","664.36","665.28","661.86","73.50M","0.28%"
"2025-9-26","661.82","659.51","662.37","657.88","69.18M","0.57%"
"2025-9-25","658.05","657.94","659.41","654.41","89.62M","-0.46%"
"2025-9-24","661.10","664.51","664.61","659.67","68.08M","-0.32%"
"2025-9-23","663.21","666.72","667.34","661.98","81.71M","-0.54%"
"2025-9-22","666.84","662.20","667.29","662.17","69.45M","0.47%"
"2025-9-19","663.70","662.33","664.55","660.37","97.95M","0.22%"
"2025-9-18","662.26","661.89","664.89","660.27","90.46M","0.47%"
"2025-9-17","659.18","660.01","661.72","654.30","101.95M","-0.12%"
"2025-9-16","660.00","661.47","661.78","659.21","61.17M","-0.14%"
"2025-9-15","660.91","659.64","661.04","659.34","63.77M","0.53%"
"2025-9-12","657.41","657.60","659.11","656.90","72.78M","-0.03%"
"2025-9-11","657.63","654.18","658.33","653.59","69.93M","0.83%"
"2025-9-10","652.21","653.62","654.55","650.63","78.03M","0.29%"
"2025-9-9","650.33","648.97","650.86","647.22","66.13M","0.23%"
"2025-9-8","648.83","648.62","649.84","647.23","63.13M","0.25%"
"2025-9-5","647.24","651.48","652.21","643.33","85.18M","-0.29%"
"2025-9-4","649.12","644.42","649.15","643.51","65.22M","0.84%"
"2025-9-3","643.74","642.67","644.21","640.46","70.82M","0.54%"
"2025-9-2","640.27","637.50","640.49","634.92","81.98M","-0.74%"
"2025-8-29","645.05","647.47","647.84","643.14","74.52M","-0.60%"
"2025-8-28","648.92","647.24","649.48","645.34","61.52M","0.35%"
"2025-8-27","646.63","644.57","647.37","644.42","48.34M","0.23%"
"2025-8-26","645.16","642.20","645.51","641.57","51.58M","0.42%"
"2025-8-25","642.47","644.04","645.29","642.35","51.27M","-0.44%"
"2025-8-22","645.31","637.76","646.50","637.25","84.08M","1.54%"
"2025-8-21","635.55","636.28","637.97","633.81","54.81M","-0.40%"
"2025-8-20","638.11","639.40","639.66","632.95","88.89M","-0.27%"
"2025-8-19","639.81","643.12","644.10","638.48","69.75M","-0.54%"
"2025-8-18","643.30","642.86","644.00","642.18","43.80M","-0.02%"
"2025-8-15","643.44","645.99","646.09","642.52","68.59M","-0.23%"
"2025-8-14","644.95","642.79","645.62","642.34","59.33M","0.01%"
"2025-8-13","644.89","644.91","646.19","642.68","60.09M","0.34%"
"2025-8-12","642.69","638.29","642.85","636.79","64.82M","1.06%"
"2025-8-11","635.92","637.46","638.95","634.66","58.74M","-0.20%"
"2025-8-8","637.18","634.06","637.65","633.74","64.05M","0.78%"
"2025-8-7","632.25","636.24","636.98","629.11","74.21M","-0.08%"
"2025-8-6","632.78","629.05","633.44","628.13","64.36M","0.77%"
"2025-8-5","627.97","631.79","632.61","627.04","68.05M","-0.51%"
"2025-8-4","631.17","625.67","631.22","625.58","73.22M","1.52%"
"2025-8-1","621.72","626.30","626.34","619.29","140.10M","-1.64%"
"2025-7-31","632.08","639.46","639.85","630.77","103.39M","-0.38%"
"2025-7-30","634.46","635.92","637.68","631.54","80.42M","-0.13%"
